 43,100, 15, 40, 24,  6, 62,  3, 85, 46, 78, 74, 65, 89, 47,100, 0
 56,100, 53, 82, 49, 56, 45, 25, 45,  9, 45,  3, 44,  1, 44,  0, 1
 38, 97, 70, 98, 74, 90, 41, 30,  2,  6, 52,  6, 95,  3,100,  2, 2
 26,100, 87, 95, 51, 66, 58, 58, 81, 48, 80, 29, 29,  8, 13,  0, 3
 15, 91, 15, 51, 15, 45, 36, 38, 85, 41, 45, 59, 48, 20, 49,  0, 4
 65, 97, 46, 70, 59, 53, 85, 30, 83, 18,  1,  3, 67, 82,100, 82, 5
 88,100, 27, 46, 13, 13, 55,  0, 77, 12, 65, 32, 53, 40, 47, 42, 6
 20,100, 60, 95, 80, 88, 80, 43, 80, 23, 80, 16, 80,  7, 79,  0, 7
 55, 61, 64, 91, 37, 99, 47, 55, 70, 20, 50,  1, 33, 35, 48, 61, 8
 64, 72, 60, 97, 36, 90, 42, 69, 50, 66, 60, 64, 53,  9, 51,  0, 9
 48, 94, 65, 85, 80, 46, 59, 12, 27,  2, 20, 29, 40, 85, 49,100, 0
 21, 69, 79,100, 68, 59, 52, 13, 40,  2, 54,  2, 60,  2, 66,  2, 1
 22, 67, 36, 97, 63, 78, 64, 50, 26, 13, 16,  7, 65,  6, 86,  0, 2
 35, 99, 79, 90, 70, 67, 40, 53, 80, 43, 85, 21, 51,  3, 15,  0, 3
 50,100, 46, 68, 35, 34, 37, 25, 64, 27, 57, 44, 50,  9, 50,  0, 4
 16, 96, 22, 77, 82, 54, 79, 18, 46,  0, 22, 93, 45, 97, 64,100, 5
 49,100, 35, 56, 49,  7, 64,  4, 57, 30, 46, 42, 41, 47, 36, 48, 6
 68, 84, 87, 78, 91, 76, 96, 72,100, 67, 39, 34,  2, 17,  0, 16, 7
 54, 66, 63, 90, 44,100, 50, 64, 69, 26, 34,  1, 43, 52, 51, 65, 8
 61, 87, 60, 98, 37, 75, 46, 53, 63, 73, 55, 22, 52,  7, 51,  0, 9
 91, 94, 19, 66,  0, 11, 17,  7, 83, 39,100, 82, 94, 88, 89, 89, 0
 62,100, 60, 82, 53, 58, 47, 35, 43, 23, 40, 11, 38,  1, 38,  0, 1
 50, 82, 51, 97, 58,100, 69, 85, 59, 29, 21,  3, 65,  1, 80,  0, 2
 41,100, 70, 99, 68, 73, 32, 55, 71, 48, 74, 36, 35,  4, 26,  0, 3
 32, 99, 26, 68, 20, 45, 74, 47, 55, 70, 55, 31, 56,  6, 57,  0, 4
 25,100, 33, 63, 68, 43, 72, 20, 31,  0, 18, 16, 31, 91, 82, 85, 5
100, 86, 22, 61,  0, 18, 13, 13, 22, 23, 25, 34, 21, 43, 16, 48, 6
 26, 96, 34, 98, 53,100, 70,100, 73,100, 60, 55, 44, 15, 38,  0, 7
 30, 93, 62,100, 70, 70, 12, 14, 86,  4, 81, 37, 47, 73, 38, 74, 8
 68,100, 32, 77, 40, 56, 53, 70, 60, 86, 60, 37, 59,  6, 56,  0, 9
 37, 93, 27, 13, 39,  1, 60, 19, 72, 64, 62, 90, 48,100, 40, 96, 0
 55,100, 55, 82, 45, 39, 45, 37, 45, 33, 45, 28, 49,  5, 50,  0, 1
 24, 56, 54,100, 71, 97, 70, 52, 28,  7, 28,  1, 71,  2, 84,  2, 2
 37, 92, 46, 95, 71, 90, 66, 66, 47, 60,100, 44, 78,  6,  0,  4, 3
 53,100, 11, 67,  4, 53, 12, 48, 64, 42, 96, 42, 52, 26, 52,  0, 4
 36,100, 27, 44, 69, 26, 69, 14, 53,  1, 31,  3, 54, 80, 76, 78, 5
 64,100, 36, 63, 30, 29, 34, 12, 54,  0, 70, 10, 58, 28, 34, 73, 6
 23,100, 37,100, 72, 91, 77, 89, 70, 76, 45, 35, 41, 20, 40,  0, 7
 58,100, 20, 76, 76, 39, 86, 27, 46,  2, 35, 10, 37, 63, 54, 78, 8
 70, 90, 49,100, 33, 74, 56, 50, 61, 51, 54, 23, 51,  9, 48,  0, 9
 35, 94, 27, 35, 37,  1, 73, 34, 61, 91, 55,100, 42, 94, 35, 88, 0
 53,100, 53, 78, 53, 53, 52, 30, 47,  5, 47,  2, 47,  1, 47,  0, 1
 41,100, 59,100, 71, 89, 72, 64, 34, 14, 30, 12, 63,  2, 72,  0, 2
 32, 86, 42,100, 68, 88, 32, 65, 82, 51, 64, 16, 38,  0, 17,  0, 3
 55,100, 31, 49, 30, 41, 71, 47, 53, 46, 50, 21, 49,  5, 48,  0, 4
 24,100, 49, 55, 81, 19, 39,  3, 31,  0, 19, 18, 46, 89, 69, 87, 5
 84,100, 27, 81, 16, 22, 31,  0, 51, 20, 38, 49, 26, 57, 21, 57, 6
 15, 99, 32,100, 71, 95, 75, 95, 85, 92, 72, 73, 35, 22, 22,  0, 7
 64, 73, 80, 87, 14,100, 76, 32, 71,  2, 34, 15, 31, 67, 58, 73, 8
 58, 89, 52,100, 26, 66, 42, 45, 73, 74, 62, 62, 56, 14, 53,  0, 9
 43, 98, 60,100, 84, 51, 53,  6, 21,  2, 20, 62, 35, 91, 44, 99, 0
 37, 72, 59, 96, 63, 85, 60, 28, 57, 12, 31,  0, 52,  1, 69,  1, 1
 25, 67, 39, 98, 69, 83, 58, 39,  3, 19, 71,  3, 95,  0,100, 20, 2
 21,100, 81, 87, 40, 63, 79, 56, 69,  7, 38,  0, 28,  6, 17, 15, 3
 64,100, 23, 43, 52, 46, 63, 84, 68, 20, 67,  3, 63,  2, 77,  4, 4
 33, 88, 80, 86, 27, 51, 82, 46, 89, 21, 60,  2, 24,  5, 11, 10, 5
 69,100, 36, 50, 31, 11, 39,  1, 63, 16, 51, 46, 46, 49, 38, 47, 6
 15, 99, 45, 99, 81, 97, 78, 90, 53, 63, 37, 29, 30,  4, 30,  0, 7
 59, 97, 26, 94, 37, 61, 83, 21, 23,  6, 17, 35, 54, 63, 71, 68, 8
 75, 92, 69, 99, 29, 93, 31, 53, 68, 53, 71, 79, 62, 48, 53,  0, 9
 37, 90, 14, 29, 26,  3, 76, 15, 86, 72, 75, 99, 54, 97, 37, 94, 0
 47, 82, 54, 95, 57, 80, 51, 35, 49, 11, 43,  0, 51,  4, 55,  5, 1
 22, 85, 40, 99, 81, 78, 84, 57, 23, 14, 10,  7, 61,  5,100,  1, 2
 34, 73, 46, 97, 82, 89, 46, 56, 90, 47, 75, 11, 16,  1,  9, 18, 3
 55,100, 35, 54, 24, 32, 70, 33, 57, 76, 57, 33, 56,  9, 56,  0, 4
 35, 98, 35, 74, 74, 75,100, 36, 41,  4,  1, 28, 36, 91,100, 84, 5
 72,100, 44, 76, 28, 29, 41,  5, 47,  0, 56, 28, 48, 51, 37, 57, 6
 23,100, 39, 91, 62, 78, 41, 46, 35, 27, 31, 11, 32,  1, 38,  2, 7
 34, 93, 72, 92, 54, 57, 25, 23, 67,  0, 75, 31, 54, 69, 44, 79, 8
 61, 87, 56,100, 40, 79, 47, 60, 62, 82, 49, 40, 41, 13, 38,  0, 9
 14, 86, 43,100, 89, 61, 78, 10, 25,  0, 11, 24, 13, 75, 22, 92, 0
 61,100, 53, 72, 47, 47, 41, 21, 41, 11, 39,  3, 39,  1, 39,  0, 1
 47, 82, 76,100, 85, 91, 81, 62, 51, 27, 18, 13, 63, 10, 94,  0, 2
 21, 75, 40,100, 65, 85, 36, 62, 79, 45, 70,  3, 22,  4, 19, 36, 3
 41,100, 24, 63, 17, 43, 18, 40, 80, 43, 53, 79, 53, 19, 53,  0, 4
 27, 92, 78, 92,  7, 45, 39, 60, 85, 57, 91, 10, 29,  0,  6, 17, 5
