 60, 96,  5, 45,  2, 16, 31,  4, 96, 27, 99, 80, 83, 91, 58, 94, 0
 56,100, 53, 85, 52, 76, 47, 54, 45, 35, 45, 14, 44,  2, 44,  0, 1
 20, 77, 28, 98, 52,100, 74, 76, 75, 37, 28,  4, 21,  1, 84,  1, 2
 32, 78, 59,100, 74, 84, 27, 54, 82, 48, 74,  9, 27,  2, 15, 31, 3
 49,100, 25, 57, 13, 39, 53, 41, 87, 41, 51, 54, 51, 20, 51,  0, 4
 43,100,  6, 62, 70, 68, 93, 35, 70,  2, 30,  9, 10, 23, 95, 95, 5
100, 87, 46, 84,  0, 41,  7, 16, 43, 13, 54, 33, 46, 55, 25, 68, 6
 11, 93, 82,100, 83, 89, 59, 58, 48, 34, 46, 21, 46, 11, 46,  0, 7
 62, 59, 81, 77, 46, 99, 19, 77, 73, 25, 54,  0, 34, 37, 62, 58, 8
 73, 68, 75, 91, 40,100, 28, 63, 63, 66, 73, 70, 63, 14, 62,  0, 9
