 27, 91, 68, 95,100, 38, 60,  3,  0, 36,  4, 73, 18, 89, 27, 89, 0
 58,100, 55, 76, 48, 43, 45, 29, 43, 12, 42,  7, 42,  1, 42,  0, 1
 20, 71, 33, 94, 65, 84, 71, 62, 31, 25,  5, 14, 41,  3,100,  3, 2
 24, 80, 40,100, 58, 76, 30, 55, 73, 52, 65, 11, 31,  1, 24, 28, 3
 56,100, 28, 72, 25, 44, 32, 37, 68, 37, 60, 61, 56, 13, 56,  0, 4
 35,100, 33, 63, 70, 67, 67,  8, 25,  7, 34, 53, 56, 93, 71, 94, 5
 71, 93, 50, 93, 25, 13, 50,  5, 76, 36, 66, 54, 38, 52, 32, 38, 6
 27,100, 69, 95, 66, 89, 43, 64, 37, 39, 37, 15, 38,  7, 38,  0, 7
 68, 96, 24, 96, 42, 52, 82, 23, 70,  1, 20, 17, 46, 61, 70, 70, 8
 62, 89, 52, 99, 22, 74, 53, 59, 78, 78, 65, 19, 50,  0, 32,  3, 9
